Pos,Player,Team,Rating,Career Best Rating
1,Rashid Khan,AFG,713,816
2,Wanindu Hasaranga,SL,686,797
3,Maheesh Theekshana,SL,684,684
4,Adil Rashid,ENG,679,746
5,Fazalhaq Farooqi,AFG,677,692
6,Mujeeb Ur Rahman,AFG,676,745
7,Josh Hazlewood,AUS,670,806
8,Sam Curran,ENG,659,688
9,Adam Zampa,AUS,657,743
10,Akeal Hosein,WI,655,681
11,Haris Rauf,PAK,648,657
12,Anrich Nortje,SA,647,695
13,Tabraiz Shamsi,SA,637,821
14,Alzarri Joseph,WI,632,641
15,Mitchell Santner,NZ,628,731
16,Ish Sodhi,NZ,627,661
17,Shadab Khan,PAK,626,769
18,Shaheen Afridi,PAK,616,634
19,Shakib Al Hasan,BAN,616,672
20,Arshdeep Singh,IND,613,635
21,Mustafizur Rahman,BAN,591,695
22,Jason Holder,WI,583,583
23,Keshav Maharaj,SA,582,662
24,Ashton Agar,AUS,572,717
25,Bhuvneshwar Kumar,IND,568,682
26,Tim Southee,NZ,566,669
27,Mohammad Wasim,PAK,564,609
28,Reece Topley,ENG,564,662
29,Wayne Parnell,SA,560,577
30,Kuldeep Yadav,IND,560,728
31,Taskin Ahmed,BAN,558,558
32,Nasum Ahmed,BAN,550,637
33,Yuzvendra Chahal,IND,541,706
34,Naseem Shah,PAK,541,578
35,Ravichandran Ashwin,IND,532,765
36,Mark Wood,ENG,526,610
37,Akshar Patel,IND,526,617
38,Trent Boult,NZ,524,653
39,Hasan Mahmud,BAN,523,529
40,Mark Watt,SCO,519,603
41,Kagiso Rabada,SA,516,595
42,Mitchell Starc,AUS,513,702
43,Hardik Pandya,IND,508,545
44,Pat Cummins,AUS,508,610
45,Mahedi Hasan,BAN,507,632
46,Chris Jordan,ENG,500,659
47,Chris Woakes,ENG,497,580
48,Nathan Ellis,AUS,492,500
49,Obed McCoy,WI,492,567
50,Lahiru Kumara,SL,489,501
51,Lungi Ngidi,SA,488,568
52,Richard Ngarava,ZIM,486,501
53,Bernard Scholtz,NAM,484,484
54,Tendai Chatara,ZIM,481,481
55,David Wiese,NAM,479,646
56,Fred Klaassen,NED,473,473
57,Naveen Murid,AFG,466,535
58,Mohammad Nawaz,PAK,465,560
59,Michael Bracewell,NZ,464,548
60,Luke Bichard,GSY,463,463
61,Mohammad Nabi,AFG,461,638
62,Joshua Little,IRE,459,528
63,Paul van Meekeren,NED,457,552
64,Ravi Bishnoi,IND,456,507
65,Chamika Karunaratne,SL,456,498
66,Zahoor Khan,UAE,454,501
67,Mark Adair,IRE,452,573
68,Jan Frylinck,NAM,452,482
69,Adam Milne,NZ,448,661
70,Sandeep Lamichhane,NEP,447,512
71,Wellington Masakadza,ZIM,445,469
72,Bilal Khan,OMA,441,571
73,David Willey,ENG,438,640
74,Harshal Patel,IND,437,575
75,Dushmantha Chameera,SL,437,555
76,Kane Richardson,AUS,429,664
77,Safyaan Sharif,SCO,429,501
78,J.J. Smit,NAM,427,472
79,Blessing Muzarabani,ZIM,427,522
80,Lachlan Ferguson,NZ,424,579
81,Junaid Siddique,UAE,421,432
82,Sheldon Cottrell,WI,418,648
83,Hayden Walsh,WI,417,528
84,Sikandar Raza,ZIM,416,429
85,Jasprit Bumrah,IND,415,764
86,Ruben Trumpelmann,NAM,406,406
87,Sean Abbott,AUS,406,406
88,Odean Smith,WI,405,460
89,Matt Henry,NZ,405,405
90,Mohammad Shoriful Islam,BAN,395,513
91,Karim Janat,AFG,393,531
92,Barry McCarthy,IRE,393,393
93,Imad Wasim,PAK,390,780
94,Sean Williams,ZIM,383,506
95,Josh Davey,SCO,376,442
96,Alasdair Evans,SCO,376,598
97,Deepak Chahar,IND,375,581
98,Liam Livingstone,ENG,373,428
99,Roelof van der Merwe,NED,370,516
100,Marcus Stoinis,AUS,369,404
